w_flavour,w_nutrition,w_macro,w_cooccurrence,MRR,H@5,H@10
0.15,0.4,0.4,0.05,0.2804,0.4211,0.7895
0.15,0.45,0.35,0.05,0.2804,0.4211,0.7895
0.15,0.55,0.3,0.0,0.2804,0.4211,0.7895
0.05,0.4,0.5,0.05,0.2803,0.4211,0.7895
0.2,0.25,0.5,0.05,0.2801,0.4211,0.7895
0.25,0.25,0.5,0.0,0.2801,0.4211,0.7895
0.15,0.5,0.15,0.2,0.28,0.4737,0.7368
0.3,0.4,0.1,0.2,0.2799,0.3684,0.6316
0.15,0.3,0.25,0.3,0.2798,0.4211,0.7895
0.1,0.2,0.65,0.05,0.2796,0.4211,0.7895
0.35,0.4,0.1,0.15,0.2796,0.3684,0.6316
0.35,0.45,0.1,0.1,0.2796,0.3684,0.6316
0.4,0.45,0.1,0.05,0.2796,0.3684,0.6316
0.4,0.5,0.1,0.0,0.2796,0.3684,0.6316
0.35,0.25,0.4,0.0,0.2795,0.4211,0.7895
0.2,0.25,0.05,0.5,0.2795,0.3684,0.6316
0.25,0.3,0.05,0.4,0.2795,0.3684,0.6316
0.25,0.35,0.05,0.35,0.2795,0.3684,0.6316
0.15,0.2,0.05,0.6,0.2794,0.3684,0.6316
0.3,0.4,0.05,0.25,0.2794,0.3684,0.6316
0.35,0.45,0.05,0.15,0.2794,0.3684,0.6316
0.35,0.5,0.05,0.1,0.2794,0.3684,0.6316
0.4,0.55,0.05,0.0,0.2794,0.3684,0.6316
0.15,0.35,0.2,0.3,0.2793,0.4737,0.7895
0.2,0.2,0.05,0.55,0.2793,0.3684,0.6316
0.2,0.2,0.55,0.05,0.2792,0.4211,0.7895
0.25,0.2,0.55,0.0,0.2792,0.4211,0.7895
0.25,0.25,0.05,0.45,0.2792,0.3684,0.6316
0.4,0.4,0.1,0.1,0.2792,0.3684,0.6316
0.45,0.4,0.1,0.05,0.2792,0.3684,0.6316
0.45,0.45,0.1,0.0,0.2792,0.3684,0.6316
0.3,0.3,0.05,0.35,0.2791,0.3684,0.6316
0.1,0.6,0.3,0.0,0.279,0.4737,0.7895
0.4,0.3,0.3,0.0,0.2786,0.4737,0.7368
0.3,0.45,0.25,0.0,0.2784,0.4737,0.7895
0.15,0.55,0.25,0.05,0.2783,0.4737,0.7895
0.05,0.05,0.9,0.0,0.2783,0.4737,0.6842
0.25,0.2,0.05,0.5,0.2783,0.3684,0.6316
0.3,0.35,0.3,0.05,0.2782,0.4737,0.7895
0.15,0.45,0.15,0.25,0.2782,0.4211,0.7368
0.5,0.4,0.1,0.0,0.2782,0.3684,0.6316
0.3,0.35,0.05,0.3,0.2781,0.3684,0.6316
0.35,0.4,0.05,0.2,0.2781,0.3684,0.6316
0.4,0.5,0.05,0.05,0.2781,0.3684,0.6316
0.25,0.55,0.2,0.0,0.278,0.4737,0.7895
0.35,0.4,0.25,0.0,0.2779,0.4737,0.7368
0.25,0.35,0.0,0.4,0.2779,0.3684,0.6316
0.1,0.65,0.25,0.0,0.2778,0.4737,0.7895
0.1,0.7,0.2,0.0,0.2778,0.4737,0.7895
0.2,0.3,0.0,0.5,0.2778,0.3684,0.6316
0.3,0.45,0.0,0.25,0.2778,0.3684,0.6316
0.45,0.2,0.35,0.0,0.2777,0.4737,0.7895
0.35,0.5,0.0,0.15,0.2777,0.3684,0.6316
0.4,0.55,0.0,0.05,0.2777,0.3684,0.6316
0.4,0.6,0.0,0.0,0.2777,0.3684,0.6316
0.35,0.35,0.3,0.0,0.2776,0.4737,0.7895
0.4,0.25,0.35,0.0,0.2776,0.4737,0.7895
0.25,0.3,0.4,0.05,0.2776,0.4211,0.7895
0.3,0.2,0.45,0.05,0.2776,0.4211,0.7895
0.3,0.25,0.45,0.0,0.2776,0.4211,0.7895
0.3,0.3,0.4,0.0,0.2776,0.4211,0.7895
0.25,0.3,0.3,0.15,0.2774,0.4737,0.7895
0.05,0.05,0.8,0.1,0.2774,0.4211,0.7368
0.25,0.25,0.4,0.1,0.2773,0.4211,0.7895
0.25,0.3,0.35,0.1,0.2773,0.4211,0.7895
0.4,0.15,0.45,0.0,0.2773,0.4211,0.7368
0.1,0.15,0.0,0.75,0.2773,0.3684,0.6316
0.25,0.35,0.3,0.1,0.2772,0.4737,0.7895
0.25,0.4,0.3,0.05,0.2772,0.4737,0.7895
0.25,0.45,0.25,0.05,0.2772,0.4737,0.7895
0.05,0.1,0.8,0.05,0.277,0.5263,0.7368
0.2,0.2,0.35,0.25,0.277,0.4211,0.7895
0.2,0.25,0.35,0.2,0.277,0.4211,0.7895
0.15,0.35,0.15,0.35,0.277,0.4211,0.7368
0.15,0.15,0.65,0.05,0.2769,0.4211,0.7895
0.15,0.2,0.6,0.05,0.2769,0.4211,0.7895
0.2,0.3,0.4,0.1,0.2769,0.4211,0.7895
0.15,0.1,0.7,0.05,0.2768,0.4737,0.7895
0.15,0.05,0.75,0.05,0.2768,0.4737,0.6842
0.15,0.4,0.15,0.3,0.2768,0.4211,0.7368
0.2,0.25,0.4,0.15,0.2767,0.4211,0.7895
0.25,0.15,0.6,0.0,0.2766,0.4737,0.7895
0.25,0.35,0.35,0.05,0.2764,0.4211,0.7895
0.35,0.2,0.45,0.0,0.2764,0.4211,0.7895
0.15,0.3,0.5,0.05,0.2764,0.3684,0.7895
0.35,0.25,0.35,0.05,0.2761,0.4737,0.7895
0.2,0.3,0.3,0.2,0.2761,0.4211,0.7895
0.2,0.35,0.3,0.15,0.2761,0.4211,0.7895
0.1,0.85,0.0,0.05,0.2761,0.3684,0.6316
0.0,0.05,0.8,0.15,0.276,0.4737,0.5789
0.1,0.3,0.3,0.3,0.276,0.4211,0.7895
0.15,0.3,0.4,0.15,0.276,0.4211,0.7895
0.15,0.35,0.35,0.15,0.276,0.4211,0.7895
0.15,0.35,0.4,0.1,0.276,0.4211,0.7895
0.15,0.4,0.35,0.1,0.276,0.4211,0.7895
0.15,0.45,0.3,0.1,0.276,0.4211,0.7895
0.15,0.5,0.3,0.05,0.276,0.4211,0.7895
0.2,0.3,0.35,0.15,0.276,0.4211,0.7895
0.2,0.35,0.35,0.1,0.276,0.4211,0.7895
0.2,0.5,0.15,0.15,0.276,0.4211,0.7368
0.1,0.9,0.0,0.0,0.276,0.3684,0.6316
0.1,0.35,0.3,0.25,0.2758,0.4211,0.7895
0.1,0.4,0.25,0.25,0.2758,0.4211,0.7895
0.1,0.35,0.15,0.4,0.2758,0.4211,0.7368
0.35,0.15,0.5,0.0,0.2758,0.4211,0.7368
0.15,0.25,0.4,0.2,0.2757,0.4211,0.7895
0.15,0.25,0.45,0.15,0.2757,0.4211,0.7895
0.2,0.25,0.45,0.1,0.2757,0.4211,0.7895
0.1,0.05,0.65,0.2,0.2757,0.4211,0.7368
0.15,0.25,0.55,0.05,0.2757,0.3684,0.7895
0.25,0.4,0.25,0.1,0.2756,0.4737,0.7895
0.3,0.2,0.35,0.15,0.2756,0.4211,0.7895
0.05,0.85,0.0,0.1,0.2756,0.3684,0.6316
0.15,0.2,0.35,0.3,0.2755,0.4211,0.7895
0.2,0.2,0.4,0.2,0.2755,0.4211,0.7895
